NETTBUTIKK,SENDER TIL SVALBARD,SENDER IKKE TIL SVALBARD,TREKKER MOMS DIREKTE,MÅ HA RD 0032B SKJEMA,TREKKER IKKE MOMS,KOMMENTAR
Alexia.no,X,,X,,,
Aliexpress.no,X,X,,,X,"ca 3-5 ukers leveringstid, men ankommer alltid!"
Amazon.de,X,,,,,Refunderer automatisk etter 8 uker dersom man bestiller direkte fra amazon
Apotekhjem.no,X,,X,,,"Ta kontakt med kundeservice. Momsen er kun reservert, og blir hevet ca en måned etter"
Ark.no,X,,,,,"Ikke moms på bøker. Usikker på om de trekker på andre varer, men de sender!"
Apple.com,X,,,X - Skjema fungerer kun på reisegods som tas med til Svalbard i bagasjen,,"Enklere å bruke Eplehuset, som trekker fra automatisk"
Babyshop.no,X,,,,,"Send en e-post etter å ha mottatt varene, refunderer moms uten skjema"
Bagorama.no ,X,,,,,Send mail etter bestilling
Bangerhead.no,X,,,,,"Send en e-post etter å ha mottatt varene, refunderer moms uten skjema"
Barasportswear.com,X,,,,,"Send en e-post etter å ha mottatt varene, refunderer moms uten skjema"
Bergans.no,x,,,,,"Send en e-post etter å ha mottatt varene, refunderer moms uten skjema"
Blush.no,,,,X - Skjema fungerer kun på reisegods som tas med til Svalbard i bagasjen,,
brikkebutikken.no/,X,,,,,
Brynje,,,,,,Svalbard: Fri frakt når du handler over 2000 kr. Ordre under 2000 kr får 250 kr i frakt.
https://www.bmwear.no/,X,,X,,,Trekker MVA direkte i check-out. Frakt på NP ca 350 kr. 
careless.no,X,,X,,,"Send epost etter å ha mottatt varene, refunderer uten skjema"
caretobeauty.com/no,X,t c,X,,,
crazy-factory.com/nb,X,,,,,
Cubus.no,,X,,,X,Bestilt senest 30.06.2023
DressMyKid.no - Babyklær og Barneklær,X,,X,,,Trekker moms når du legger inn adresse. Må betale ekstra for sending til Svalbard.
dustin.no,X,,X,,,MVA tilbakeføres når varene sendes.
dustinhome.no,X,,X,,,
dyrefor.no ,X,,X,,,Må bestille per e-post. De trekker moms og sender faktura. (per sept 2023)
eggemusikk.no,,,,X - Skjema fungerer kun på reisegods som tas med til Svalbard i bagasjen,,
elektroimportoren.no,x,,x,,,Må ta kontakt for å endre konto slik at MVA ikke trekkes.
Elkjop.no,X,,,,,"Send en e-post etter å ha mottatt varene, refunderer moms uten skjema (epost: hello@elkjop.no)"
Eplehuset.no,X,,X,,,"Må ta kontakt før bestilling, refunderer moms uten skjema, men du må betale fortolling (250 kr eller mer)og frakt på 250 kr uansett størrelse"
erotikk.no,X,,,,,
evenstadmusikk.no,X,,X,,,"Må ta kontakt før bestilling, refunderer moms uten skjema. Lag konto, så går de inn å fjerner momsen i kontoen din."
